# Detector n: 1 Z
5 24 0. 0.
6 24               0 0
7 24               0 0
8 24               0 0
9 24               0 0
10 24               0 0
11 24               0 0
12 24               0 0
13 24               0 0
14 24               0 0
15 24 0. 0.
16 24 0. 0.
17 24 0. 0.
18 24 0. 0.
19 24 0. 0.
20 24 0. 0.
21 24 0. 0.
22 24 0. 0.
23 24 0. 0.
24 24 0. 0.
25 24 0. 0.
26 24 0. 0.
27 24 0. 0.
28 24 0. 0.
29 24 0. 0.
30 24 0. 0.
31 24 0. 0.
32 24 0. 0.
33 24 0. 0.
34 24 0. 0.

# Block n: 3 A:25
1 25 0. 0.
2 25 0. 0.
3 25 0. 0.
4 25 0. 0.
5 25 0. 0.
6 25 0. 0.
7 25               0 0
8 25               0 0
9 25               0 0
10 25               0 0
11 25               0 0
12 25               0 0
13 25               0 0
14 25               0 0
15 25 0. 0.
16 25 0. 0.
17 25 0. 0.
18 25 0. 0.
19 25 0. 0.
20 25 0. 0.
21 25 0. 0.
22 25 0. 0.
23 25 0. 0.
24 25 0. 0.
25 25 0. 0.
26 25 0. 0.
27 25 0. 0.
28 25 0. 0.
29 25 0. 0.
30 25 0. 0.
31 25 0. 0.
32 25 0. 0.
33 25 0. 0.
34 25 0. 0.

# Block n: 3 A:26
1 26 0. 0.
2 26 0. 0.
3 26 0. 0.
4 26 0. 0.
5 26 0. 0.
6 26 0. 0.
7 26               0 0
8 26               0 0
9 26               0 0
10 26               0 0
11 26               0 0
12 26               0 0
13 26               0 0
14 26               0 0
15 26               0 0
16 26 0. 0.
17 26 0. 0.
18 26 0. 0.
19 26 0. 0.
20 26 0. 0.
21 26 0. 0.
22 26 0. 0.
23 26 0. 0.
24 26 0. 0.
25 26 0. 0.
26 26 0. 0.
27 26 0. 0.
28 26 0. 0.
29 26 0. 0.
30 26 0. 0.
31 26 0. 0.
32 26 0. 0.
33 26 0. 0.
34 26 0. 0.

# Block n: 3 A:27
1 27 0. 0.
2 27 0. 0.
3 27 0. 0.
4 27 0. 0.
5 27 0. 0.
6 27 0. 0.
7 27 0. 0.
8 27               0 0
9 27               0 0
10 27               0 0
11 27               0 0
12 27               0 0
13 27               0 0
14 27               0 0
15 27               0 0
16 27 0. 0.
17 27 0. 0.
18 27 0. 0.
19 27 0. 0.
20 27 0. 0.
21 27 0. 0.
22 27 0. 0.
23 27 0. 0.
24 27 0. 0.
25 27 0. 0.
26 27 0. 0.
27 27 0. 0.
28 27 0. 0.
29 27 0. 0.
30 27 0. 0.
31 27 0. 0.
32 27 0. 0.
33 27 0. 0.
34 27 0. 0.

# Block n: 3 A:28
1 28 0. 0.
2 28 0. 0.
3 28 0. 0.
4 28 0. 0.
5 28 0. 0.
6 28 0. 0.
7 28 0. 0.
8 28               0 0
9 28               0 0
10 28               0 0
11 28               0 0
12 28               0 0
13 28               0 0
14 28               0 0
15 28               0 0
16 28               0 0
17 28 0. 0.
18 28 0. 0.
19 28 0. 0.
20 28 0. 0.
21 28 0. 0.
22 28 0. 0.
23 28 0. 0.
24 28 0. 0.
25 28 0. 0.
26 28 0. 0.
27 28 0. 0.
28 28 0. 0.
29 28 0. 0.
30 28 0. 0.
31 28 0. 0.
32 28 0. 0.
33 28 0. 0.
34 28 0. 0.

# Block n: 3 A:29
1 29 0. 0.
2 29 0. 0.
3 29 0. 0.
4 29 0. 0.
5 29 0. 0.
6 29 0. 0.
7 29 0. 0.
8 29 0. 0.
9 29               0 0
10 29               0 0
11 29               0 0
12 29               0 0
13 29               0 0
14 29               0 0
15 29               0 0
16 29               0 0
17 29 0. 0.
18 29 0. 0.
19 29 0. 0.
20 29 0. 0.
21 29 0. 0.
22 29 0. 0.
23 29 0. 0.
24 29 0. 0.
25 29 0. 0.
26 29 0. 0.
27 29 0. 0.
28 29 0. 0.
29 29 0. 0.
30 29 0. 0.
31 29 0. 0.
32 29 0. 0.
33 29 0. 0.
34 29 0. 0.

# Block n: 3 A:30
1 30 0. 0.
2 30 0. 0.
3 30 0. 0.
4 30 0. 0.
5 30 0. 0.
6 30 0. 0.
7 30 0. 0.
8 30 0. 0.
9 30               0 0
10 30               0 0
11 30               0 0
12 30               0 0
13 30               0 0
14 30               0 0
15 30               0 0
16 30               0 0
17 30               0 0
18 30 0. 0.
19 30 0. 0.
20 30 0. 0.
21 30 0. 0.
22 30 0. 0.
23 30 0. 0.
24 30 0. 0.
25 30 0. 0.
26 30 0. 0.
27 30 0. 0.
28 30 0. 0.
29 30 0. 0.
30 30 0. 0.
31 30 0. 0.
32 30 0. 0.
33 30 0. 0.
34 30 0. 0.

# Block n: 3 A:31
1 31 0. 0.
2 31 0. 0.
3 31 0. 0.
4 31 0. 0.
5 31 0. 0.
6 31 0. 0.
7 31 0. 0.
8 31 0. 0.
9 31 0. 0.
10 31               0 0
11 31               0 0
12 31               0 0
13 31               0 0
14 31               0 0
15 31               0 0
16 31               0 0
17 31               0 0
18 31 0. 0.
19 31 0. 0.
20 31 0. 0.
21 31 0. 0.
22 31 0. 0.
23 31 0. 0.
24 31 0. 0.
25 31 0. 0.
26 31 0. 0.
27 31 0. 0.
28 31 0. 0.
29 31 0. 0.
30 31 0. 0.
31 31 0. 0.
32 31 0. 0.
33 31 0. 0.
34 31 0. 0.

# Block n: 3 A:32
1 32 0. 0.
2 32 0. 0.
3 32 0. 0.
4 32 0. 0.
5 32 0. 0.
6 32 0. 0.
7 32 0. 0.
8 32 0. 0.
9 32 0. 0.
10 32               0 0
11 32               0 0
12 32               0 0
13 32               0 0
14 32               0 0
15 32     3.05123e-08 99
16 32               0 0
17 32               0 0
18 32               0 0
19 32 0. 0.
20 32 0. 0.
21 32 0. 0.
22 32 0. 0.
23 32 0. 0.
24 32 0. 0.
25 32 0. 0.
26 32 0. 0.
27 32 0. 0.
28 32 0. 0.
29 32 0. 0.
30 32 0. 0.
31 32 0. 0.
32 32 0. 0.
33 32 0. 0.
34 32 0. 0.

# Block n: 3 A:33
1 33 0. 0.
2 33 0. 0.
3 33 0. 0.
4 33 0. 0.
5 33 0. 0.
6 33 0. 0.
7 33 0. 0.
8 33 0. 0.
9 33 0. 0.
10 33 0. 0.
11 33               0 0
12 33               0 0
13 33               0 0
14 33               0 0
15 33               0 0
16 33               0 0
17 33               0 0
18 33               0 0
19 33 0. 0.
20 33 0. 0.
21 33 0. 0.
22 33 0. 0.
23 33 0. 0.
24 33 0. 0.
25 33 0. 0.
26 33 0. 0.
27 33 0. 0.
28 33 0. 0.
29 33 0. 0.
30 33 0. 0.
31 33 0. 0.
32 33 0. 0.
33 33 0. 0.
34 33 0. 0.

# Block n: 3 A:34
1 34 0. 0.
2 34 0. 0.
3 34 0. 0.
4 34 0. 0.
5 34 0. 0.
6 34 0. 0.
7 34 0. 0.
8 34 0. 0.
9 34 0. 0.
10 34 0. 0.
11 34               0 0
12 34               0 0
13 34               0 0
14 34               0 0
15 34               0 0
16 34               0 0
17 34               0 0
18 34               0 0
19 34               0 0
20 34 0. 0.
21 34 0. 0.
22 34 0. 0.
23 34 0. 0.
24 34 0. 0.
25 34 0. 0.
26 34 0. 0.
27 34 0. 0.
28 34 0. 0.
29 34 0. 0.
30 34 0. 0.
31 34 0. 0.
32 34 0. 0.
33 34 0. 0.
34 34 0. 0.

# Block n: 3 A:35
1 35 0. 0.
2 35 0. 0.
3 35 0. 0.
4 35 0. 0.
5 35 0. 0.
6 35 0. 0.
7 35 0. 0.
8 35 0. 0.
9 35 0. 0.
10 35 0. 0.
11 35 0. 0.
12 35               0 0
13 35               0 0
14 35               0 0
15 35               0 0
16 35     9.97438e-09 61.2372
17 35               0 0
18 35               0 0
19 35               0 0
20 35 0. 0.
21 35 0. 0.
22 35 0. 0.
23 35 0. 0.
24 35 0. 0.
25 35 0. 0.
26 35 0. 0.
27 35 0. 0.
28 35 0. 0.
29 35 0. 0.
30 35 0. 0.
31 35 0. 0.
32 35 0. 0.
33 35 0. 0.
34 35 0. 0.

# Block n: 3 A:36
1 36 0. 0.
2 36 0. 0.
3 36 0. 0.
4 36 0. 0.
5 36 0. 0.
6 36 0. 0.
7 36 0. 0.
8 36 0. 0.
9 36 0. 0.
10 36 0. 0.
11 36 0. 0.
12 36               0 0
13 36               0 0
14 36               0 0
15 36               0 0
16 36               0 0
17 36               0 0
18 36               0 0
19 36               0 0
20 36               0 0
21 36 0. 0.
22 36 0. 0.
23 36 0. 0.
24 36 0. 0.
25 36 0. 0.
26 36 0. 0.
27 36 0. 0.
28 36 0. 0.
29 36 0. 0.
30 36 0. 0.
31 36 0. 0.
32 36 0. 0.
33 36 0. 0.
34 36 0. 0.

# Block n: 3 A:37
1 37 0. 0.
2 37 0. 0.
3 37 0. 0.
4 37 0. 0.
5 37 0. 0.
6 37 0. 0.
7 37 0. 0.
8 37 0. 0.
9 37 0. 0.
10 37 0. 0.
11 37 0. 0.
12 37 0. 0.
13 37               0 0
14 37               0 0
15 37               0 0
16 37               0 0
17 37               0 0
18 37     4.97695e-08 25
19 37               0 0
20 37               0 0
21 37 0. 0.
22 37 0. 0.
23 37 0. 0.
24 37 0. 0.
25 37 0. 0.
26 37 0. 0.
27 37 0. 0.
28 37 0. 0.
29 37 0. 0.
30 37 0. 0.
31 37 0. 0.
